scope,predicate,count
total_predictions,includes,132
total_predictions,type,78
total_predictions,supports,69
total_predictions,description,58
total_predictions,example,58
total_predictions,color,42
total_predictions,purpose,40
total_predictions,responsible for,39
total_predictions,examples,39
total_predictions,requires,31
total_predictions,include,30
total_predictions,enables,29
total_predictions,context,27
total_predictions,represents,24
total_predictions,example categories,24
total_predictions,affects,24
total_predictions,describes,19
total_predictions,is,18
total_predictions,used for,18
total_predictions,role,18
total_predictions,part of,17
total_predictions,based on,17
total_predictions,contains,17
total_predictions,applies to,17
total_predictions,ensures,17
total_predictions,category,16
total_predictions,provides,15
total_predictions,example use cases,14
total_predictions,assigned to,14
total_predictions,relationship,14
total_predictions,can be,14
total_predictions,definition,13
total_predictions,linked to,13
total_predictions,use,12
total_predictions,serves as,12
total_predictions,has field,12
total_predictions,for,11
total_predictions,to,11
total_predictions,key concept,11
total_predictions,defines,10
total_predictions,provide,10
total_predictions,identifies,10
total_predictions,may include,10
total_predictions,models,10
total_predictions,notes,10
total_predictions,are,9
total_predictions,must be,9
total_predictions,function,9
total_predictions,implies,9
total_predictions,requires attribute,9
total_predictions,attribute concept,9
total_predictions,ensure,8
total_predictions,subscription,8
total_predictions,has section,8
total_predictions,aligned with,8
total_predictions,between,8
total_predictions,used to model,8
total_predictions,label,8
total_predictions,location,8
total_predictions,has element,8
total_predictions,developed by,7
total_predictions,enable,7
total_predictions,captures,7
total_predictions,key benefits,7
total_predictions,language,7
total_predictions,used in,7
total_predictions,must be specified at,7
total_predictions,should be,7
total_predictions,can be linked to,7
total_predictions,usage,7
total_predictions,follows,7
total_predictions,reason,7
total_predictions,improves,7
total_predictions,recommendation,7
total_predictions,subscription type,7
total_predictions,forms,6
total_predictions,relates to,6
total_predictions,done via,6
total_predictions,consists of,6
total_predictions,contributes to,6
total_predictions,stakeholders,6
total_predictions,role type,6
total_predictions,receives,6
total_predictions,aligns with,6
total_predictions,has,6
total_predictions,source,6
total_predictions,classification,6
total_predictions,target roles,6
total_predictions,implements,6
total_predictions,required elements,6
total_predictions,not operated by,6
total_predictions,connected to,6
total_predictions,status,5
total_predictions,also called,5
total_predictions,occur in,5
total_predictions,corresponds to,5
total_predictions,composed of,5
total_predictions,focus on,5
total_predictions,are essential for,5
total_predictions,enabled by,5
total_predictions,used by,5
total_predictions,can have role,5
total_predictions,scope,5
total_predictions,indicates,5
total_predictions,assign to,5
total_predictions,has responsible,5
total_predictions,indicated on,5
total_predictions,should be documented for,5
total_predictions,applied when,5
total_predictions,relies on,5
total_predictions,key concepts,5
total_predictions,controlled vocabulary,5
total_predictions,justification,5
total_predictions,consumer,5
total_predictions,role in model,5
total_predictions,tagged as,5
total_predictions,optionally linked to,5
total_predictions,defined by,4
total_predictions,delivers,4
total_predictions,define,4
total_predictions,has role,4
total_predictions,divided into,4
total_predictions,explains,4
total_predictions,usage context,4
total_predictions,operated by,4
total_predictions,is primary reference for,4
total_predictions,described in,4
