pred_id,line_idx,doc_id,chunk_id,subject,predicate,object,alignable,matched,gold_subject,gold_predicate,gold_object,overall_score,subject_score,relation_score,object_score,reason_for_novelty,legacy_reason
0,0,,,Business_Capability,is_similar_to,Organizational_Function,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
1,1,,,Business_Capability,provides,Common_Language,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
2,1,,,Business_Capability,requires,Technology,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
3,1,,,Business_Capability,requires,Resource,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
4,1,,,Business_Capability,governed_by,Enterprise_Architecture,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
5,2,,,Business_Capability,defines,Core_Purpose,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
6,2,,,Business_Capability,usedIn,Strategic_Planning,False,False,,,,,,,,unknown_relation,unknown_relation
7,2,,,Business_Capability,usedIn,Capability_Mapping,False,False,,,,,,,,unknown_relation,unknown_relation
8,2,,,Business_Capability,usedIn,IT_Alignment,False,False,,,,,,,,unknown_relation,unknown_relation
9,3,,,Business_Capability,classifies,Application,True,False,,,,,,,,relation_mismatch,known_relation_but_subject_not_allowed
10,3,,,Application_Classification,classifies,Application,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_not_allowed
11,3,,,Business_Capability,supports,IT_Landscape,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
12,4,,,Business_Capability,defines,Organizational_Ability,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
13,4,,,Business_Process,defines,Business_Capability,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
14,5,,,IT_Product,supports,Business_Capability,True,True,it product,supports,business capability,1.0,1.0,1.0,1.0,,
15,6,,,Application,supports,Business_Capability,True,False,,,,,,,,relation_mismatch,known_relation_but_subject_not_allowed
16,6,,,Business_Capability,linkedTo,Corporate_Goal,False,False,,,,,,,,unknown_relation,unknown_relation
17,7,,,Business_Capability,is_similar_to,Business_Process,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
18,7,,,Business_Capability,affects,IT_Landscape,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
19,7,,,Business_Capability,affects,Application,True,False,,,,,,,,relation_mismatch,known_relation_but_subject_and_object_not_allowed
20,7,,,Business_Capability,alignedWith,Strategy,False,False,,,,,,,,unknown_relation,unknown_relation
21,7,,,Application,classifies,System_Type,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
22,10,,,Digital_Solution,provides,Business_Value,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
23,10,,,Digital_Solution,integrates,IT_Product,False,False,,,,,,,,unknown_relation,unknown_relation
24,10,,,IT_Product,realizes,Business_Functionality,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
25,10,,,IT_Product,supports,Digital_Solution,True,True,it product,supports,digital solution,1.0,1.0,1.0,1.0,,
26,10,,,Digital_Solution,consists_of,Business_Process,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
27,10,,,Digital_Solution,consists_of,Method_and_Practice,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
28,10,,,Digital_Solution,consists_of,Organizational_Structure,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
29,11,,,Digital_Solution,consists_of,IT_Product,True,True,digital solution,consists of,it product,1.0,1.0,1.0,1.0,,
30,12,,,IT_Product,supports,Process,True,True,it product,supports,process,1.0,1.0,1.0,1.0,,
31,12,,,IT_Product,supports,Data_Entity,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
32,12,,,Digital_Solution,supports,Operational_Value_Stream,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
33,12,,,Digital_Solution,developedWithin,Agile_Release_Train,False,False,,,,,,,,unknown_relation,unknown_relation
34,12,,,Digital_Solution,managedWithin,Portfolio,False,False,,,,,,,,unknown_relation,unknown_relation
35,12,,,Digital_Solution,developedBy,Agile_Team,False,False,,,,,,,,unknown_relation,unknown_relation
36,12,,,Agile_Team,partOf,Development_Value_Stream,False,False,,,,,,,,unknown_relation,unknown_relation
37,13,,,IT_Product,developedBy,Team,False,False,,,,,,,,unknown_relation,unknown_relation
38,13,,,Team,parent,Development_Value_Stream,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
39,13,,,Digital_Solution,provides,Internal_User,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
40,13,,,Digital_Solution,provides,External_User,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
41,14,,,Digital_Solution,provides,End_to_End_Value,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
42,14,,,Digital_Solution,supports,Organization,True,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
43,14,,,Digital_Solution,aligns,Business_Strategy,False,False,,,,,,,,unknown_relation,unknown_relation
44,18,,,Business_Architecture,consists_of,Organization,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
45,18,,,Business_Architecture,consists_of,Business_Capability,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
46,18,,,Business_Architecture,consists_of,Process,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
47,18,,,Application_Architecture,consists_of,Digital_Solution,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_not_allowed
48,18,,,Application_Architecture,consists_of,IT_Product,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_not_allowed
49,18,,,Application_Architecture,consists_of,Interface,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
50,19,,,Business_Architecture,Parent,Business_Architecture_Domain,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
51,19,,,Information_Systems_Architecture,Parent,Business_Architecture_Domain,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
52,19,,,Technology_Architecture,supports,Technical_Realization,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
53,19,,,Applications,requires,Infrastructure,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
54,19,,,IT_Product,consists_of,IT_Component,True,False,,,,,,,,direction_mismatch,known_relation_but_subject_and_object_not_allowed
55,19,,,IT_Product,realizes,Technology_Capability,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
56,22,,,Business_Architecture,captures,Organization,False,False,,,,,,,,unknown_relation,unknown_relation
57,22,,,Business_Architecture,captures,Business_Capability,False,False,,,,,,,,unknown_relation,unknown_relation
58,22,,,Business_Architecture,captures,Process,False,False,,,,,,,,unknown_relation,unknown_relation
59,23,,,Digital_Solution,realizes,Business_Capability,True,False,,,,,,,,relation_mismatch,known_relation_but_subject_and_object_not_allowed
60,23,,,Digital_Solution,consists_of,Application,True,True,digital solution,consists of,application,1.0,1.0,1.0,1.0,,
61,23,,,Digital_Solution,consists_of,Information_Object,True,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
62,30,,,Architecture_Vision,consists_of,Objective,True,False,,,,,,,,relation_mismatch,known_relation_but_subject_and_object_not_allowed
63,30,,,Architecture_Vision,consists_of,Initiative,True,False,,,,,,,,relation_mismatch,known_relation_but_subject_and_object_not_allowed
64,30,,,Information_Systems_Architecture,consists_of,Digital_Solution,True,True,information systems architecture,consists of,digital solution,1.0,1.0,1.0,1.0,,
65,30,,,Information_Systems_Architecture,consists_of,IT_Product,True,True,information systems architecture,consists of,it product,1.0,1.0,1.0,1.0,,
66,30,,,Information_Systems_Architecture,consists_of,Interface,True,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
67,30,,,Information_Systems_Architecture,realizes,Business_Capability,True,False,,,,,,,,threshold_not_met,known_relation_but_subject_and_object_not_allowed
68,30,,,Information_Architecture,consists_of,Data_Object,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
