pred_id,line_idx,doc_id,chunk_id,subject,predicate,object,alignable,matched,gold_subject,gold_predicate,gold_object,overall_score,subject_score,relation_score,object_score,reason_for_novelty,legacy_reason
0,0,,,Business_Capability,defines,Organization_Function,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
1,0,,,Business_Capability,defines,Cross_Functional_Needs,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
2,0,,,Business_Capability,provides,Common_Language,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
3,0,,,Business_Capability,defines,Technology_Requirement,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
4,0,,,Foundational_Layer,supports,Alignment_Business_Strategy_IT_Execution,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
5,1,,,Business_Capability,defines,Core_Purpose,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
6,1,,,Business_Capability,uses,Strategic_Planning,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
7,1,,,Business_Capability,uses,Capability_Mapping,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
8,1,,,Business_Capability,uses,IT_Alignment,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
9,2,,,Business_Capability,uses,Application_Classification,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
10,2,,,Application_Classification,classifies,Business_Application,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
11,2,,,Application_Classification,classifies,Technical_Component,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
12,3,,,Business_Capability,defines,Organizational_Ability,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
13,3,,,Business_Process,defines,Business_Capability,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
