scope,predicate,count
total_predictions,consists of,84
total_predictions,supports,66
total_predictions,affects,39
total_predictions,classifies,31
total_predictions,defines,26
total_predictions,provides,24
total_predictions,realizes,22
total_predictions,responsible for,16
total_predictions,linked to,14
total_predictions,parent,13
total_predictions,requires,12
total_predictions,informs,9
total_predictions,owned by,8
total_predictions,is similar to,5
total_predictions,aligned with,4
total_predictions,uses,4
total_predictions,developed within,4
total_predictions,documents,4
total_predictions,ensures,4
total_predictions,consumes,4
total_predictions,child,3
total_predictions,improves,3
total_predictions,transmits,3
total_predictions,structures,3
total_predictions,supported by,3
total_predictions,managed within,2
total_predictions,predecessor,2
total_predictions,defined at,2
total_predictions,developed by,2
total_predictions,regulates,2
total_predictions,part of,1
total_predictions,tech platform,1
total_predictions,integrates with,1
total_predictions,defined in,1
total_predictions,status of,1
total_predictions,successor,1
total_predictions,exists between,1
total_predictions,imported from,1
total_predictions,associated with,1
total_predictions,synchronized to,1
total_predictions,assigned lifecycle,1
total_predictions,subject to,1
total_predictions,has cloud component,1
total_predictions,has versioning,1
total_predictions,connects,1
total_predictions,involves,1
total_predictions,models,1
total_predictions,represents,1
total_predictions,realized by,1
total_predictions,operated by,1
total_predictions,consumed by,1
total_predictions,inherits from,1
total_predictions,governed by,1
total_predictions,is element of,1
total_predictions,used by,1
novel_predictions,consists of,80
novel_predictions,supports,61
novel_predictions,affects,32
novel_predictions,classifies,30
novel_predictions,defines,26
novel_predictions,provides,23
novel_predictions,realizes,21
novel_predictions,responsible for,14
novel_predictions,linked to,14
novel_predictions,parent,12
novel_predictions,requires,10
novel_predictions,informs,9
novel_predictions,owned by,7
novel_predictions,is similar to,5
novel_predictions,aligned with,4
novel_predictions,developed within,4
novel_predictions,documents,4
novel_predictions,ensures,4
novel_predictions,uses,4
novel_predictions,transmits,3
novel_predictions,structures,3
novel_predictions,child,3
novel_predictions,supported by,3
novel_predictions,consumes,3
novel_predictions,managed within,2
novel_predictions,improves,2
novel_predictions,defined at,2
novel_predictions,developed by,2
novel_predictions,regulates,2
novel_predictions,part of,1
novel_predictions,tech platform,1
novel_predictions,integrates with,1
novel_predictions,defined in,1
novel_predictions,status of,1
novel_predictions,exists between,1
novel_predictions,imported from,1
novel_predictions,associated with,1
novel_predictions,synchronized to,1
novel_predictions,assigned lifecycle,1
novel_predictions,subject to,1
novel_predictions,has cloud component,1
novel_predictions,has versioning,1
novel_predictions,connects,1
novel_predictions,involves,1
novel_predictions,models,1
novel_predictions,represents,1
novel_predictions,realized by,1
novel_predictions,operated by,1
novel_predictions,consumed by,1
novel_predictions,inherits from,1
novel_predictions,governed by,1
novel_predictions,is element of,1
novel_predictions,used by,1
novel_predictions,predecessor,1
