pred_id,line_idx,doc_id,chunk_id,subject,predicate,object,alignable,matched,gold_subject,gold_predicate,gold_object,overall_score,subject_score,relation_score,object_score,reason_for_novelty,legacy_reason
0,0,,,Business_Capability,defines,Organization_Function,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
1,1,,,Business_Capability,supports,Business_Strategy,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
2,1,,,Business_Capability,requires,Technology,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
3,1,,,Business_Capability,requires,Resource,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
4,1,,,Business_Capability,Parent,Enterprise_Architecture,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
5,2,,,Business_Capability,affects,Strategic_Planning,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
6,2,,,Business_Capability,affects,Capability_Mapping,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
7,2,,,Business_Capability,affects,IT_Alignment,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
8,3,,,Business_Capability,uses,Application_Classification,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
9,3,,,Application_Classification,classifies,Business_Application,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
10,3,,,Application_Classification,classifies,Technical_Component,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
11,3,,,Business_Capability,supports,Business_Aligned_IT_Landscape,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
12,4,,,Business_Capability,defines,Organizational_Ability,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
13,4,,,Business_Process,defines,Business_Capability,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
14,5,,,IT_Product,supports,Business_Capability,True,True,it product,supports,business capability,1.0,1.0,1.0,1.0,,
15,6,,,Application,supports,Business_Capability,True,False,,,,,,,,relation_mismatch,known_relation_but_subject_not_allowed
16,6,,,Business_Capability,linkedTo,Corporate_Goal,False,False,,,,,,,,unknown_relation,unknown_relation
17,7,,,Business_Capability,classifies,Business_Process,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
18,7,,,Business_Capability,linkedTo,IT_Landscape,False,False,,,,,,,,unknown_relation,unknown_relation
19,7,,,Business_Capability,linkedTo,Application,False,False,,,,,,,,unknown_relation,unknown_relation
20,7,,,Business_Capability,alignedWith,Strategy,False,False,,,,,,,,unknown_relation,unknown_relation
21,7,,,Application,classifies,Business_Application,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
22,7,,,Application,classifies,Technical_Component,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
23,10,,,Digital_Solution,provides,Business_Value,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
24,10,,,Digital_Solution,integrates,IT_Product,False,False,,,,,,,,unknown_relation,unknown_relation
25,10,,,IT_Product,realizes,Business_Functionality,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
26,10,,,IT_Product,requiredBy,Digital_Solution,True,False,,,,,,,,relation_mismatch,known_relation_but_subject_and_object_not_allowed
27,10,,,Digital_Solution,consists_of,Business_Process,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
28,10,,,Digital_Solution,consists_of,Method_and_Practice,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
29,10,,,Digital_Solution,consists_of,Organizational_Structure,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
30,11,,,Digital_Solution,consists_of,IT_Product,True,True,digital solution,consists of,it product,1.0,1.0,1.0,1.0,,
31,12,,,IT_Product,classifies,Application,True,True,it product,classifies,application,1.0,1.0,1.0,1.0,,
32,12,,,IT_Product,classifies,Business_Service,True,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
33,12,,,IT_Product,classifies,Business_Platform,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
34,12,,,IT_Product,consists_of,Technology,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
35,12,,,IT_Product,supports,Process,True,True,it product,supports,process,1.0,1.0,1.0,1.0,,
36,12,,,IT_Product,supports,Data_Entity,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
37,12,,,Digital_Solution,supports,Operational_Value_Stream,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
38,12,,,Digital_Solution,developedWithin,Agile_Release_Train,False,False,,,,,,,,unknown_relation,unknown_relation
39,12,,,Digital_Solution,managedWithin,Portfolio,False,False,,,,,,,,unknown_relation,unknown_relation
40,12,,,Digital_Solution,developedBy,Agile_Team,False,False,,,,,,,,unknown_relation,unknown_relation
41,12,,,Agile_Team,partOf,Value_Stream,False,False,,,,,,,,unknown_relation,unknown_relation
42,13,,,Digital_Solution,consists_of,Organizational_Element,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
43,13,,,IT_Product,classifies,Service,True,False,,,,,,,,direction_mismatch,known_relation_but_object_not_allowed
44,13,,,IT_Product,classifies,Platform,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
45,13,,,IT_Product,supports,Business_Process,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
46,13,,,IT_Product,supports,Operational_Value_Stream,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
47,13,,,IT_Product,developedWithin,Development_Value_Stream,False,False,,,,,,,,unknown_relation,unknown_relation
48,14,,,Digital_Solution,provides,End_to_End_Value,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
49,14,,,Digital_Solution,provides,External_User_Outcome,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
50,14,,,Digital_Solution,supports,Organization,True,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
51,14,,,Digital_Solution,aligns,Technical_Delivery,False,False,,,,,,,,unknown_relation,unknown_relation
52,14,,,Technical_Delivery,aligns,Business_Strategy,False,False,,,,,,,,unknown_relation,unknown_relation
53,18,,,Business_Architecture,consists_of,Organization,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
54,18,,,Business_Architecture,consists_of,Business_Capability,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
55,18,,,Business_Architecture,consists_of,Process,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
56,18,,,Application_Architecture,consists_of,Digital_Solution,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_not_allowed
57,18,,,Application_Architecture,consists_of,IT_Product,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_not_allowed
58,18,,,Application_Architecture,consists_of,Interface,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
59,19,,,Business_Architecture,Parent,Business_Architecture_Domain,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
60,19,,,Information_Systems_Architecture,Parent,Business_Architecture_Domain,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
61,19,,,Technology_Architecture,supports,Technical_Realization,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
62,19,,,Applications,requires,Infrastructure,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
63,19,,,IT_Product,consists_of,IT_Component,True,False,,,,,,,,direction_mismatch,known_relation_but_subject_and_object_not_allowed
64,19,,,IT_Product,realizes,Technology_Capability,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
65,23,,,Application_Architecture,consists_of,Business_Capability,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
66,23,,,Application_Architecture,consists_of,Application,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_not_allowed
67,23,,,Information_Data_Architecture,consists_of,Information_Object,True,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
68,30,,,Architecture_Vision,consists_of,Objective,True,False,,,,,,,,relation_mismatch,known_relation_but_subject_and_object_not_allowed
69,30,,,Architecture_Vision,consists_of,Initiative,True,False,,,,,,,,relation_mismatch,known_relation_but_subject_and_object_not_allowed
70,30,,,Information_Systems_Architecture,consists_of,Digital_Solution,True,True,information systems architecture,consists of,digital solution,1.0,1.0,1.0,1.0,,
71,30,,,Information_Systems_Architecture,consists_of,IT_Product,True,True,information systems architecture,consists of,it product,1.0,1.0,1.0,1.0,,
72,30,,,Information_Systems_Architecture,consists_of,Interface,True,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
73,30,,,Information_Architecture,consists_of,Data_Object,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
74,30,,,Technology_Architecture,consists_of,IT_Product,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_not_allowed
75,30,,,Technology_Architecture,consists_of,IT_Component,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
76,30,,,Technology_Architecture,consists_of,Technical_Capability,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
77,34,,,IT_Component,consists_of,Technical_Architecture,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
78,35,,,IT_Component,supports,IT_Product,True,False,,,,,,,,relation_mismatch,known_relation_but_subject_not_allowed
79,36,,,IT_Component,consists_of,IT_Product,True,True,it component,consists of,it product,1.0,1.0,1.0,1.0,,
80,36,,,IT_Component,uses,Technical_Platform,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
81,36,,,IT_Component,uses,IT_Product,True,False,,,,,,,,relation_mismatch,known_relation_but_object_not_allowed
82,36,,,IT_Component,supports,IT_Planning,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
83,36,,,IT_Component,supports,Architecture_Governance,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
84,37,,,Database,provides,Structured_Data,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
85,37,,,Middleware,supports,Real_Time_Data_Pipelines,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
86,37,,,Middleware,supports,Messaging,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
87,37,,,Operating_System,provides,Server_Environment,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
88,37,,,Web_Server,provides,Web_Content,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
89,37,,,Runtime_Environment,provides,Libraries_and_Components,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
90,37,,,Runtime_Environment,supports,Application,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_not_allowed
91,37,,,Development_Framework,supports,Application_Development,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
92,37,,,Monitoring_Tool,monitors,IT_Infrastructure,False,False,,,,,,,,unknown_relation,unknown_relation
93,37,,,Security_Component,manages,Identity_and_Access,False,False,,,,,,,,unknown_relation,unknown_relation
94,37,,,Container_Platform,hosts,Containerized_Applications,False,False,,,,,,,,unknown_relation,unknown_relation
95,37,,,CI/CD_Tool,automates,Continuous_Integration_and_Delivery,False,False,,,,,,,,unknown_relation,unknown_relation
96,37,,,API_Gateway,manages,API_Lifecycle,False,False,,,,,,,,unknown_relation,unknown_relation
97,40,,,IT_Component,TechPlatform,Technical_Platform,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
98,41,,,IT_Component,classifies,Building_Block,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
99,41,,,IT_Component,partOf,Technical_Architecture,False,False,,,,,,,,unknown_relation,unknown_relation
100,41,,,Technical_Architecture,partOf,IT_Product,False,False,,,,,,,,unknown_relation,unknown_relation
101,41,,,IT_Component,classifies,Database,True,False,,,,,,,,relation_mismatch,known_relation_but_object_not_allowed
102,41,,,IT_Component,classifies,Middleware,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
103,41,,,IT_Component,classifies,Operating_System,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
104,41,,,IT_Component,classifies,Security_Component,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
105,41,,,IT_Component,supports,IT_Solution,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
106,42,,,IT_Component,uses,IT_Architecture_Modeling,False,False,,,,,,,,entity_mismatch,known_relation_but_object_not_allowed
107,42,,,IT_Component,documentedIn,Architecture_Management_Tool,False,False,,,,,,,,unknown_relation,unknown_relation
108,45,,,Application,provides,Business_Functionality,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
109,45,,,Application,supports,Business_Process,False,False,,,,,,,,entity_mismatch,known_relation_but_subject_and_object_not_allowed
110,45,,,Application,alignedWith,Value_Creation_Process,False,False,,,,,,,,unknown_relation,unknown_relation
111,46,,,Application,realizes,Business_Capability,True,False,,,,,,,,direction_mismatch,known_relation_but_object_not_allowed
